year,region,store,people
2000,total,54281,133919
2000,middle,12687,28946
2000,east,5658,15988
2000,west,6200,15531
2000,south,4487,8891
2000,north,9515,23712
2000,suseong,6427,17744
2000,dalseo,7285,18598
2000,dalseong,2022,4509
2001,total,53269,140256
2001,middle,13011,33430
2001,east,5241,14756
2001,west,5828,14999
2001,south,4289,9608
2001,north,9512,23932
2001,suseong,6018,18298
2001,dalseo,7352,20752
2001,dalseong,2018,4481
2002,total,53202,154478
2002,middle,11988,37279
2002,east,5383,15318
2002,west,6006,17006
2002,south,4424,10668
2002,north,9612,27806
2002,suseong,5970,19063
2002,dalseo,7713,22563
2002,dalseong,2106,4775
2003,total,52122,140851
2003,middle,10675,25758
2003,east,5487,16413
2003,west,6147,17213
2003,south,4336,10240
2003,north,9750,26583
2003,suseong,5920,17567
2003,dalseo,7715,22153
2003,dalseong,2092,4924
2004,total,50833,135811
2004,middle,10154,24593
2004,east,5455,16409
2004,west,5939,15639
2004,south,4226,9188
2004,north,9610,26011
2004,suseong,5738,17091
2004,dalseo,7630,21869
2004,dalseong,2081,5011
2005,total,49090,131073
2005,middle,9466,22404
2005,east,5208,15481
2005,west,5646,14948
2005,south,4022,8857
2005,north,9736,27273
2005,suseong,5468,15543
2005,dalseo,7481,21888
2005,dalseong,2063,4679
2006,total,49310,129489
2006,middle,9356,22096
2006,east,5359,16187
2006,west,5865,14552
2006,south,4006,9050
2006,north,9947,26512
2006,suseong,5282,15132
2006,dalseo,7419,21217
2006,dalseong,2076,4743
